patient_id,abha_id,age,gender,systolic_bp,diastolic_bp,heart_rate,bmi,glucose,hba1c,cholesterol,creatinine,diabetes,heart_disease,hypertension,kidney_disease
SYN-PAT-1ece3f71,91-7173-9052-6018,70,male,132.98,77.86,74,21.69,143.69,5.29,252.16,1.86,1,1,0,1
SYN-PAT-447fd3bc,91-9983-1475-9695,69,female,130.77,79.08,84,25.84,115.19,5.11,241.97,1.58,0,1,0,0
SYN-PAT-a0a06cb7,91-5030-8492-4438,56,female,143.56,81.13,62,34.09,131.75,5.84,244.85,1.33,1,1,1,1
SYN-PAT-8993e484,91-9652-2396-9982,58,male,132.43,85.35,66,32.23,123.73,5.38,251.3,0.74,0,1,0,0
SYN-PAT-07150b9b,91-2664-2525-4750,72,female,162.58,101.6,69,29.19,131.66,4.43,268.4,1.44,1,1,1,1
SYN-PAT-7e353ad4,91-8856-7690-6331,65,female,134.12,76.84,81,30.5,142.46,5.78,245.07,1.11,0,1,0,0
SYN-PAT-62e1bd3a,91-1463-2072-6446,65,male,123.81,72.71,65,23.37,133.13,4.98,208.13,1.23,1,1,0,1
SYN-PAT-058192b3,91-8316-5891-7480,65,female,136.85,79.54,58,39.47,134.89,5.16,230.54,1.35,1,1,0,1
SYN-PAT-c4faa9cd,91-8710-7797-6439,87,female,132.14,77.32,77,28.92,140.63,5.24,250.96,1.85,1,1,0,1
SYN-PAT-3b1254bf,91-9060-1448-8661,39,male,123.67,71.44,88,28.35,104.75,4.86,217.54,0.83,0,1,0,0
SYN-PAT-591fd465,91-9863-2685-3485,71,female,130.5,91.85,64,31.04,148.8,6.82,268.78,1.55,1,1,1,1
SYN-PAT-548f1b4f,91-1350-4586-6915,66,male,155.03,89.93,78,27.6,127.26,4.86,222.5,1.23,1,1,1,1
SYN-PAT-103a1718,91-1753-2188-8108,65,male,120.43,82.12,78,21.45,120.18,5.49,177.74,1.3,0,1,0,0
SYN-PAT-497a45b8,91-6414-3946-6736,72,male,147.17,78.38,71,22.52,134.3,5.74,241.42,1.73,1,1,1,0
SYN-PAT-ee7b9a03,91-9592-5432-4324,63,male,136.07,79.62,69,23.73,117.92,5.44,240.5,1.07,0,1,0,0
SYN-PAT-b69bc257,91-3245-6689-5337,59,female,123.53,74.13,74,25.26,116.31,5.08,206.74,1.08,0,1,0,0
SYN-PAT-86fb9278,91-9608-8676-3068,53,male,134.11,78.21,74,27.69,138.24,5.97,241.77,1.26,1,1,0,0
SYN-PAT-474c1a12,91-7346-4166-8344,57,male,132.53,86.17,55,28.53,143.75,5.16,248.42,1.5,1,1,0,1
SYN-PAT-0405ae71,91-3619-8919-3461,55,male,111.24,79.4,70,29.47,143.96,5.5,240.55,0.87,1,1,0,0
SYN-PAT-9ba11b5d,91-9418-4106-4936,69,female,122.97,79.79,70,17.37,115.11,4.82,248.05,1.48,0,1,0,0
SYN-PAT-1508c294,91-3186-3134-3177,53,female,147.39,94.38,74,32.0,136.99,5.17,240.08,1.29,1,1,1,1
SYN-PAT-30b7b536,91-7112-1992-6647,18,female,105.12,68.97,83,23.38,122.7,5.66,185.61,0.91,0,1,0,0
SYN-PAT-2e24b725,91-1648-7394-5660,64,female,121.35,62.05,60,29.88,132.58,5.48,217.63,1.58,1,1,0,1
SYN-PAT-3449c467,91-9998-8030-1331,45,female,126.37,78.07,52,22.75,117.94,5.03,152.03,0.88,0,1,0,0
SYN-PAT-d07a3f65,91-8492-5843-5038,59,male,137.61,78.52,69,29.86,125.14,5.32,274.24,1.13,0,1,0,0
SYN-PAT-9951a189,91-3256-4970-5838,65,male,164.92,94.83,61,28.87,128.59,4.28,179.81,1.57,1,1,1,1
SYN-PAT-e3130a0a,91-1498-1140-2714,59,female,130.99,68.98,67,26.0,146.28,6.24,248.64,1.47,1,1,0,1
SYN-PAT-af8a4d6e,91-3380-9686-3416,69,male,140.19,83.25,83,29.48,138.86,6.03,203.94,1.5,1,1,1,1
SYN-PAT-a98bdcaa,91-7710-1643-1020,77,male,149.01,93.87,79,20.23,139.83,6.13,243.94,1.63,1,1,1,1
SYN-PAT-2cda7727,91-2832-9242-4678,32,female,126.72,77.01,79,21.77,118.28,5.72,163.91,0.71,0,1,0,0
SYN-PAT-9cc13ce9,91-9246-5671-1557,72,male,137.16,83.75,72,28.41,137.06,6.17,240.26,1.63,1,1,0,1
